,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
563,004430,송원산업,8100,-20,-0.2,170295,1355756240,8070,8220,7850,194400000000,0.01,24000000,3441046.0,14.34,564,2015-01-02
2598,004430,송원산업,8240,140,1.7,146075,1169031920,7980,8260,7890,197760000000,0.01,24000000,3447109.0,14.36,564,2015-01-05
4628,004430,송원산업,8270,30,0.4,99104,813636920,8110,8300,8110,198480000000,0.02,24000000,3438252.0,14.33,559,2015-01-06
6644,004430,송원산업,8700,430,5.2,394525,3381271210,8210,8710,8200,208800000000,0.02,24000000,3441149.0,14.34,540,2015-01-07
8687,004430,송원산업,8540,-160,-1.8,153545,1323182530,8730,8740,8520,204960000000,0.02,24000000,3395488.0,14.15,549,2015-01-08
10710,004430,송원산업,8900,360,4.2,223040,1960268830,8540,8920,8530,213600000000,0.02,24000000,3425406.0,14.27,539,2015-01-09
12724,004430,송원산업,9450,550,6.2,373540,3482104230,8930,9550,8790,226800000000,0.02,24000000,3443787.0,14.35,520,2015-01-12
14753,004430,송원산업,9400,-50,-0.5,226629,2129741400,9550,9570,9270,225600000000,0.02,24000000,3418050.0,14.24,516,2015-01-13
16786,004430,송원산업,9530,130,1.4,244874,2348608860,9250,9820,9250,228720000000,0.02,24000000,3397235.0,14.16,517,2015-01-14
18817,004430,송원산업,9640,110,1.2,154145,1495599960,9490,9800,9460,231360000000,0.02,24000000,3388332.0,14.12,516,2015-01-15
20889,004430,송원산업,8420,-1220,-12.7,1267212,11117654630,9680,9680,8380,202080000000,0.02,24000000,3412077.0,14.22,555,2015-01-16
22934,004430,송원산업,8230,-190,-2.3,1042702,8489504660,8440,8640,7870,197520000000,0.01,24000000,3589423.0,14.96,570,2015-01-19
24957,004430,송원산업,8390,160,1.9,265593,2226562260,8220,8550,8220,201360000000,0.01,24000000,3603667.0,15.02,563,2015-01-20
26992,004430,송원산업,8250,-140,-1.7,145054,1208153380,8370,8480,8150,198000000000,0.01,24000000,3625084.0,15.1,570,2015-01-21
29011,004430,송원산업,8310,60,0.7,143341,1189126280,8300,8430,8210,199440000000,0.01,24000000,3679446.0,15.33,562,2015-01-22
31043,004430,송원산업,8240,-70,-0.8,131748,1088668430,8480,8480,8130,197760000000,0.01,24000000,3677308.0,15.32,567,2015-01-23
33084,004430,송원산업,7980,-260,-3.2,248366,1983112450,8230,8260,7840,191520000000,0.01,24000000,3681011.0,15.34,581,2015-01-26
35096,004430,송원산업,8270,290,3.6,229649,1870358090,8040,8290,7950,198480000000,0.01,24000000,3714696.0,15.48,565,2015-01-27
37116,004430,송원산업,8700,430,5.2,252402,2154874340,8260,8720,8200,208800000000,0.02,24000000,3716697.0,15.49,558,2015-01-28
39137,004430,송원산업,8670,-30,-0.3,148238,1284199110,8650,8750,8520,208080000000,0.02,24000000,3684179.0,15.35,552,2015-01-29
41165,004430,송원산업,8670,0,0.0,95642,819480460,8760,8760,8450,208080000000,0.02,24000000,3690948.0,15.38,553,2015-01-30
43207,004430,송원산업,8460,-210,-2.4,574094,4659653130,8100,8480,7660,203040000000,0.01,24000000,3703151.0,15.43,568,2015-02-02
45246,004430,송원산업,8210,-250,-3.0,187758,1564107320,8520,8530,8130,197040000000,0.01,24000000,3675478.0,15.31,580,2015-02-03
47255,004430,송원산업,8770,560,6.8,310220,2663290410,8290,8780,8150,210480000000,0.02,24000000,3709126.0,15.45,562,2015-02-04
49276,004430,송원산업,8900,130,1.5,377101,3362883610,8770,9100,8650,213600000000,0.02,24000000,3695689.0,15.4,556,2015-02-05
51301,004430,송원산업,9030,130,1.5,196903,1781703110,8800,9130,8800,216720000000,0.02,24000000,3690383.0,15.38,553,2015-02-06
53330,004430,송원산업,8880,-150,-1.7,170864,1545912990,9030,9130,8880,213120000000,0.02,24000000,3691639.0,15.38,553,2015-02-09
55341,004430,송원산업,9400,520,5.9,394612,3704989470,8880,9540,8880,225600000000,0.02,24000000,3707628.0,15.45,535,2015-02-10
57373,004430,송원산업,9280,-120,-1.3,131945,1222590610,9400,9440,9150,222720000000,0.02,24000000,3684392.0,15.35,539,2015-02-11
59413,004430,송원산업,9030,-250,-2.7,141969,1287938010,9340,9340,8950,216720000000,0.02,24000000,3689941.0,15.37,550,2015-02-12
61442,004430,송원산업,9150,120,1.3,183828,1688775930,9030,9340,9030,219600000000,0.02,24000000,3707442.0,15.45,550,2015-02-13
63475,004430,송원산업,8960,-190,-2.1,97481,889207030,9140,9290,8930,215040000000,0.02,24000000,3704863.0,15.44,554,2015-02-16
65510,004430,송원산업,8870,-90,-1.0,77622,687817910,8960,9080,8800,212880000000,0.02,24000000,3721515.0,15.51,560,2015-02-17
67536,004430,송원산업,9000,130,1.5,83981,750234510,9000,9050,8830,216000000000,0.02,24000000,3731385.0,15.55,558,2015-02-23
69568,004430,송원산업,8900,-100,-1.1,61814,550901260,9000,9110,8850,213600000000,0.02,24000000,3728968.0,15.54,562,2015-02-24
71604,004430,송원산업,8660,-240,-2.7,167381,1457310560,8910,9000,8600,207840000000,0.01,24000000,3718335.0,15.49,572,2015-02-25
73630,004430,송원산업,8780,120,1.4,79080,688782350,8690,8820,8580,210720000000,0.01,24000000,3740350.0,15.58,572,2015-02-26
75664,004430,송원산업,8580,-200,-2.3,203294,1745978350,8780,8840,8520,205920000000,0.01,24000000,3738593.0,15.58,580,2015-02-27
77682,004430,송원산업,8800,220,2.6,171117,1485832500,8600,8800,8570,211200000000,0.01,24000000,3769381.0,15.71,572,2015-03-02
79710,004430,송원산업,8840,40,0.4,162571,1424303960,8800,8870,8630,212160000000,0.01,24000000,3768846.0,15.7,575,2015-03-03
81725,004430,송원산업,9040,200,2.3,216546,1951912670,8800,9150,8800,216960000000,0.02,24000000,3767485.0,15.7,565,2015-03-04
83752,004430,송원산업,9000,-40,-0.4,119840,1071354250,9020,9130,8800,216000000000,0.02,24000000,3773066.0,15.72,567,2015-03-05
